項目A,項目B,項目C,項目E
いいえ,赤,2,430
いいえ,緑,1,279
いいえ,緑,3,470
いいえ,赤,3,478
いいえ,青,1,351
はい,緑,5,746
いいえ,青,2,496
はい,赤,5,572
いいえ,赤,1,315
いいえ,青,1,313
はい,青,5,650
はい,緑,5,622
はい,緑,3,523
いいえ,青,2,495
はい,赤,5,597
いいえ,緑,2,411
はい,赤,5,563
いいえ,緑,1,380
はい,緑,4,552
いいえ,緑,2,463
はい,青,4,535
はい,緑,5,633
いいえ,緑,2,446
いいえ,緑,2,437
いいえ,緑,3,469
はい,赤,4,510
いいえ,青,1,265
はい,赤,5,827
いいえ,青,1,277
はい,青,4,600
はい,緑,4,605
いいえ,赤,3,492
いいえ,青,1,339
はい,赤,5,699
いいえ,青,1,415
はい,赤,5,607
いいえ,青,1,394
はい,緑,4,584
はい,青,4,561
はい,赤,5,719
いいえ,緑,2,410
いいえ,緑,3,500
いいえ,青,2,492
はい,緑,5,690
いいえ,赤,3,488
いいえ,青,1,369
はい,緑,5,694
いいえ,緑,3,472
はい,赤,5,547
いいえ,赤,1,307
いいえ,緑,2,427
いいえ,赤,3,492
いいえ,緑,1,371
いいえ,青,2,479
はい,緑,4,583
いいえ,青,1,452
はい,青,4,577
はい,緑,4,595
いいえ,緑,3,497
いいえ,緑,2,467
はい,赤,4,526
いいえ,青,1,303
はい,緑,4,588
いいえ,青,1,463
はい,緑,4,586
いいえ,青,1,440
はい,青,4,608
はい,青,5,665
はい,緑,4,576
はい,青,4,547
はい,青,4,597
はい,緑,5,676
はい,赤,5,554
いいえ,緑,1,355
はい,青,3,509
はい,緑,5,672
いいえ,緑,3,479
いいえ,緑,3,479
いいえ,青,2,470
はい,赤,5,598
いいえ,緑,2,429
はい,緑,4,560
いいえ,赤,3,483
いいえ,赤,1,381
いいえ,緑,2,424
いいえ,赤,2,450
いいえ,緑,2,431
いいえ,青,2,469
はい,緑,4,587
いいえ,青,1,452
はい,緑,4,576
いいえ,青,1,443
はい,緑,5,768
はい,緑,4,534
はい,緑,3,526
はい,青,3,502
はい,赤,5,597
いいえ,赤,2,416
いいえ,緑,1,320
はい,赤,5,561